id	label
base.aareas.aat_mapping.dbpedia_category	base.aareas.aat_mapping.dbpedia_category
base.aareas.aat_mapping.dbpedia_count	base.aareas.aat_mapping.dbpedia_count
base.aareas.location	base.aareas.location
base.aareas.schema.administrative_area.adjectival_form	base.aareas.schema.administrative_area.adjectival_form
base.aareas.schema.administrative_area.administrative_area_type	base.aareas.schema.administrative_area.administrative_area_type
base.aareas.schema.administrative_area.administrative_children	base.aareas.schema.administrative_area.administrative_children
base.aareas.schema.administrative_area.administrative_parent	base.aareas.schema.administrative_area.administrative_parent
base.aareas.schema.administrative_area.capital	base.aareas.schema.administrative_area.capital
base.aareas.schema.administrative_area.pertinent_type	base.aareas.schema.administrative_area.pertinent_type
base.aareas.schema.administrative_area.short_name	base.aareas.schema.administrative_area.short_name
base.aareas.schema.administrative_area.subdivides_place	base.aareas.schema.administrative_area.subdivides_place
base.aareas.schema.administrative_area.subdividing_place	base.aareas.schema.administrative_area.subdividing_place
base.aareas.schema.administrative_area.subdividing_type	base.aareas.schema.administrative_area.subdividing_type
base.aareas.schema.administrative_area_type.administrative_division_type	base.aareas.schema.administrative_area_type.administrative_division_type
base.aareas.schema.administrative_area_type.expected_codes	base.aareas.schema.administrative_area_type.expected_codes
base.aareas.schema.administrative_area_type.level	base.aareas.schema.administrative_area_type.level
base.aareas.schema.administrative_area_type.pertains_to	base.aareas.schema.administrative_area_type.pertains_to
base.aareas.schema.administrative_area_type.sovereignty_code	base.aareas.schema.administrative_area_type.sovereignty_code
base.aareas.schema.administrative_area_type.stem_word	base.aareas.schema.administrative_area_type.stem_word
base.aareas.schema.administrative_area_type.subdivides_place	base.aareas.schema.administrative_area_type.subdivides_place
base.aareas.schema.administrative_area_type.subdividing_type	base.aareas.schema.administrative_area_type.subdividing_type
base.aareas.schema.earth.sovereign_domain.sovereign_state	base.aareas.schema.earth.sovereign_domain.sovereign_state
base.aareas.schema.uk	base.aareas.schema.uk
base.activism.activist.area_of_activism	base.activism.activist.area_of_activism
base.adoption.adopted_person.adopted_by	base.adoption.adopted_person.adopted_by
base.adoption.adoption.adopted_by	base.adoption.adoption.adopted_by
base.adoption.adoption.adopted_person	base.adoption.adoption.adopted_person
base.advertisingcharacters.character_portrayer.appeared_as	base.advertisingcharacters.character_portrayer.appeared_as
base.aliens.ufo_sighting_location.ufo_sighting_s	base.aliens.ufo_sighting_location.ufo_sighting_s
base.americancivilwar.battle.result_of_conflict	base.americancivilwar.battle.result_of_conflict
base.americancomedy.impersonated_celebrity.impersonated_by	base.americancomedy.impersonated_celebrity.impersonated_by
base.animal_synopses.animal_synopsis.height	base.animal_synopses.animal_synopsis.height
base.animal_synopses.animal_synopsis.litter_size	base.animal_synopses.animal_synopsis.litter_size
base.animal_synopses.animal_synopsis.mass	base.animal_synopses.animal_synopsis.mass
base.animalnames.animal_gender.animal_names	base.animalnames.animal_gender.animal_names
base.argumentmaps.abstract_moral_dispute.people_that_disapprove_of_this	base.argumentmaps.abstract_moral_dispute.people_that_disapprove_of_this
base.argumentmaps.innovator.original_ideas	base.argumentmaps.innovator.original_ideas
base.argumentmaps.moral_agent.disapproves_of_activity	base.argumentmaps.moral_agent.disapproves_of_activity
base.argumentmaps.motivated_event.motive	base.argumentmaps.motivated_event.motive
base.argumentmaps.original_idea.innovator	base.argumentmaps.original_idea.innovator
base.argumentmaps.thing_of_disputed_value.disparagement	base.argumentmaps.thing_of_disputed_value.disparagement
base.argumentmaps.thing_of_disputed_value.praise	base.argumentmaps.thing_of_disputed_value.praise
base.argumentmaps.thinker.thinks_this_didn_t_happen	base.argumentmaps.thinker.thinks_this_didn_t_happen
base.arthist.attribuciok.mutargy	base.arthist.attribuciok.mutargy
base.arthist.attribuciok.muvesz	base.arthist.attribuciok.muvesz
base.arthist.attribuciok.szerep	base.arthist.attribuciok.szerep
base.arthist.helynevek.helynev	base.arthist.helynevek.helynev
base.arthist.helynevek.mutargy	base.arthist.helynevek.mutargy
base.arthist.muveszek.muvek	base.arthist.muveszek.muvek
base.arthist.provenienciaadat.aktualis	base.arthist.provenienciaadat.aktualis
base.arthist.provenienciaadat.helynev	base.arthist.provenienciaadat.helynev
base.arthist.provenienciaadat.mutargy	base.arthist.provenienciaadat.mutargy
base.athletics.athletics_championships_competition_athlete_relationship.athlete_s	base.athletics.athletics_championships_competition_athlete_relationship.athlete_s
base.athletics.athletics_championships_competition_athlete_relationship.championships	base.athletics.athletics_championships_competition_athlete_relationship.championships
base.athletics.athletics_championships_competition_athlete_relationship.event	base.athletics.athletics_championships_competition_athlete_relationship.event
base.athletics.athletics_championships_competition_athlete_relationship.rank	base.athletics.athletics_championships_competition_athlete_relationship.rank
base.athletics.athletics_country.championships_athletes_performances	base.athletics.athletics_country.championships_athletes_performances
base.aubreymaturin.affliction.malady	base.aubreymaturin.affliction.malady
base.aubreymaturin.affliction.sufferer	base.aubreymaturin.affliction.sufferer
base.aubreymaturin.affliction.treatment	base.aubreymaturin.affliction.treatment
base.aubreymaturin.character.suffers_from	base.aubreymaturin.character.suffers_from
base.aubreymaturin.malady.mentioned_in	base.aubreymaturin.malady.mentioned_in
base.aubreymaturin.place.mentions	base.aubreymaturin.place.mentions
base.aubreymaturin.place_mention.book	base.aubreymaturin.place_mention.book
base.aubreymaturin.place_mention.chapter	base.aubreymaturin.place_mention.chapter
base.aubreymaturin.place_mention.description	base.aubreymaturin.place_mention.description
base.aubreymaturin.place_mention.page_number	base.aubreymaturin.place_mention.page_number
base.aubreymaturin.place_mention.place	base.aubreymaturin.place_mention.place
base.aubreymaturin.real_person.characters_based_on_this_person	base.aubreymaturin.real_person.characters_based_on_this_person
base.badpeople.bad_people_who_ran_countries.bad_because	base.badpeople.bad_people_who_ran_countries.bad_because
base.biblioness.bibs_location.abbreviation	base.biblioness.bibs_location.abbreviation
base.biblioness.bibs_location.city	base.biblioness.bibs_location.city
base.biblioness.bibs_location.country	base.biblioness.bibs_location.country
base.biblioness.bibs_location.is_clear	base.biblioness.bibs_location.is_clear
base.biblioness.bibs_location.loc_type	base.biblioness.bibs_location.loc_type
base.biblioness.bibs_location.state	base.biblioness.bibs_location.state
base.biblioness.bibs_topic.is_really	base.biblioness.bibs_topic.is_really
base.biblioness.bibs_topic.subsumes	base.biblioness.bibs_topic.subsumes
base.biblioness.bnauthors	base.biblioness.bnauthors
base.biblioness.ffauthors	base.biblioness.ffauthors
base.biblioness.kjauthors	base.biblioness.kjauthors
base.biblioness.qbauthors	base.biblioness.qbauthors
base.billionaires.billionaire.net_work_includes_family_members	base.billionaires.billionaire.net_work_includes_family_members
base.bioventurist.bv_medical_condition.company_involved	base.bioventurist.bv_medical_condition.company_involved
base.bioventurist.bv_medical_condition.therapeutics	base.bioventurist.bv_medical_condition.therapeutics
base.bioventurist.bv_therapeutic.indication_or_disease	base.bioventurist.bv_therapeutic.indication_or_disease
base.bioventurist.bv_therapeutic.patent_expiration	base.bioventurist.bv_therapeutic.patent_expiration
base.bioventurist.date_with_note.date	base.bioventurist.date_with_note.date
base.bioventurist.indication.disease	base.bioventurist.indication.disease
base.bioventurist.indication.phase_of_development	base.bioventurist.indication.phase_of_development
base.bioventurist.indication.therapeutic	base.bioventurist.indication.therapeutic
base.bioventurist.technology_class.company_involved	base.bioventurist.technology_class.company_involved
base.breakfast.breakfast_cereal_box_feature.featured_on	base.breakfast.breakfast_cereal_box_feature.featured_on
base.breakfast.breakfast_cereal_theme.brands	base.breakfast.breakfast_cereal_theme.brands
base.business_report.reporting_unit.unit_name	base.business_report.reporting_unit.unit_name
base.cars_refactor.company.makes	base.cars_refactor.company.makes
base.cars_refactor.company_make_relationship.company	base.cars_refactor.company_make_relationship.company
base.cars_refactor.company_make_relationship.make	base.cars_refactor.company_make_relationship.make
base.casinos.casino_owner.casinos_owned	base.casinos.casino_owner.casinos_owned
base.casinos.casino_theme.casinos_in_this_theme	base.casinos.casino_theme.casinos_in_this_theme
base.cdnpolitics.member_of_parliament.howd_they_vote_id	base.cdnpolitics.member_of_parliament.howd_they_vote_id
base.chickipedia.chickipedia_id	base.chickipedia.chickipedia_id
base.chickipedia.topic.chickipedia_id	base.chickipedia.topic.chickipedia_id
base.coinsdaily.coin_type.precursor_coin_type	base.coinsdaily.coin_type.precursor_coin_type
base.coinsdaily.coin_type.timespan_minted	base.coinsdaily.coin_type.timespan_minted
base.column.column_author.columns_written	base.column.column_author.columns_written
base.column.column_author_duration.author_of_this_column	base.column.column_author_duration.author_of_this_column
base.column.column_author_duration.column	base.column.column_author_duration.column
base.column.column_author_duration.from	base.column.column_author_duration.from
base.column.column_author_duration.to	base.column.column_author_duration.to
base.column.column_periodical_duration.column	base.column.column_periodical_duration.column
base.column.column_periodical_duration.periodical	base.column.column_periodical_duration.periodical
base.column.column_publisher.featured_column	base.column.column_publisher.featured_column
base.consumermedical.medical_term.consumer_name	base.consumermedical.medical_term.consumer_name
base.crime.arrest_warrants.date_warrant_issued	base.crime.arrest_warrants.date_warrant_issued
base.crime.arrest_warrants.warrant_issuer	base.crime.arrest_warrants.warrant_issuer
base.crime.convicted_criminal.convictions	base.crime.convicted_criminal.convictions
base.crime.crime_victim.crime_type	base.crime.crime_victim.crime_type
base.crime.criminal_conviction.community_service_hours	base.crime.criminal_conviction.community_service_hours
base.crime.criminal_conviction.convicted_person	base.crime.criminal_conviction.convicted_person
base.crime.criminal_conviction.date_arrested	base.crime.criminal_conviction.date_arrested
base.crime.criminal_conviction.guilty_of	base.crime.criminal_conviction.guilty_of
base.crime.criminal_conviction.sentence_type	base.crime.criminal_conviction.sentence_type
base.crime.execution_type.people_executed_this_way	base.crime.execution_type.people_executed_this_way
base.crime.fugitive.warrants_for_arrest	base.crime.fugitive.warrants_for_arrest
base.crime.lawyer.lawyer_type	base.crime.lawyer.lawyer_type
base.crime.warrant_issuer.warrants_issued	base.crime.warrant_issuer.warrants_issued
base.csafarms.area_served.farms	base.csafarms.area_served.farms
base.culturalevent.event.entity_involved	base.culturalevent.event.entity_involved
base.culturalevent.event.event_type	base.culturalevent.event.event_type
base.dancingwiththestars.contestant.performed_in_episode	base.dancingwiththestars.contestant.performed_in_episode
base.dancingwiththestars.contestant.professional_dance_partner	base.dancingwiththestars.contestant.professional_dance_partner
base.dancingwiththestars.contestant.season_on_dwts	base.dancingwiththestars.contestant.season_on_dwts
base.database.database_topic.database_s_for_this_topic	base.database.database_topic.database_s_for_this_topic
base.datedlocationtest.dated_location_joining.date	base.datedlocationtest.dated_location_joining.date
base.datedlocationtest.dated_location_joining.joined	base.datedlocationtest.dated_location_joining.joined
base.datedlocationtest.dated_location_joining.joined_by	base.datedlocationtest.dated_location_joining.joined_by
base.datedlocationtest.dated_location_merger.became_location	base.datedlocationtest.dated_location_merger.became_location
base.datedlocationtest.dated_location_merger.date	base.datedlocationtest.dated_location_merger.date
base.datedlocationtest.dated_location_merger.merger_of	base.datedlocationtest.dated_location_merger.merger_of
base.datedlocationtest.dated_location_succession.date	base.datedlocationtest.dated_location_succession.date
base.datedlocationtest.dated_location_succession.preceded_by	base.datedlocationtest.dated_location_succession.preceded_by
base.datedlocationtest.dated_location_succession.succeeded_by	base.datedlocationtest.dated_location_succession.succeeded_by
base.datedlocationtest.dated_location_test.formed_by_merger	base.datedlocationtest.dated_location_test.formed_by_merger
base.datedlocationtest.dated_location_test.joined_by	base.datedlocationtest.dated_location_test.joined_by
base.datedlocationtest.dated_location_test.preceded_by	base.datedlocationtest.dated_location_test.preceded_by
base.datedlocationtest.dated_location_test.resulted_from_break_up	base.datedlocationtest.dated_location_test.resulted_from_break_up
base.daylifetopics.daylife_id.daylife_topic_id	base.daylifetopics.daylife_id.daylife_topic_id
base.daylifetopics.daylife_id.daylife_topic_name	base.daylifetopics.daylife_id.daylife_topic_name
base.descriptive_names.names.descriptive_name	base.descriptive_names.names.descriptive_name
base.dinosaur.dinosaur_location.dinosaur_s	base.dinosaur.dinosaur_location.dinosaur_s
base.disaster2.attack.attack	base.disaster2.attack.attack
base.disaster2.attack_process.attack_event	base.disaster2.attack_process.attack_event
base.disaster2.attack_process.attacker	base.disaster2.attack_process.attacker
base.disaster2.attack_process.object_used_as_weapon	base.disaster2.attack_process.object_used_as_weapon
base.disaster2.attack_process.tactic_or_attack_form	base.disaster2.attack_process.tactic_or_attack_form
base.disaster2.attacker.attack_s	base.disaster2.attacker.attack_s
base.disaster2.injured_person.injuries	base.disaster2.injured_person.injuries
base.disaster2.injury.caused_by_event	base.disaster2.injury.caused_by_event
base.disaster2.injury.injured_person	base.disaster2.injury.injured_person
base.disaster2.injury.type_of_injury	base.disaster2.injury.type_of_injury
base.disaster2.injury_causing_event.caused_disability	base.disaster2.injury_causing_event.caused_disability
base.disaster2.object_used_as_weapon.used_in_attack_s	base.disaster2.object_used_as_weapon.used_in_attack_s
base.disaster2.tactic.attacks_of_this_form	base.disaster2.tactic.attacks_of_this_form
base.disaster2.type_of_injury.people_with_this_injury	base.disaster2.type_of_injury.people_with_this_injury
base.dspl.es_ine.population.area_2	base.dspl.es_ine.population.area_2
base.dspl.es_ine.population.area_5	base.dspl.es_ine.population.area_5
base.dspl.es_ine.population.country	base.dspl.es_ine.population.country
base.dspl.eurostat.broadband_penetration.country	base.dspl.eurostat.broadband_penetration.country
base.dspl.eurostat.government_debt.country	base.dspl.eurostat.government_debt.country
base.dspl.un.population.city_proper	base.dspl.un.population.city_proper
base.dspl.us_bls.unemployment.city	base.dspl.us_bls.unemployment.city
base.dspl.us_bls.unemployment.country	base.dspl.us_bls.unemployment.country
base.dspl.us_bls.unemployment.county	base.dspl.us_bls.unemployment.county
base.dspl.us_bls.unemployment.state	base.dspl.us_bls.unemployment.state
base.dspl.us_census.population.county	base.dspl.us_census.population.county
base.dspl.us_census.population.place	base.dspl.us_census.population.place
base.dspl.us_census.population.state	base.dspl.us_census.population.state
base.dspl.world_bank.wdi_gdf.country	base.dspl.world_bank.wdi_gdf.country
base.ecology.ecosystem.ecosystem_members	base.ecology.ecosystem.ecosystem_members
base.elbogen.meeting_participant.participates_in	base.elbogen.meeting_participant.participates_in
base.eventparticipants.known_participants.participated_in	base.eventparticipants.known_participants.participated_in
base.events.festival_event.part_of_series	base.events.festival_event.part_of_series
base.events.geographical_scope.conferences_and_conventions_with_this_geographic_scope	base.events.geographical_scope.conferences_and_conventions_with_this_geographic_scope
base.events.location_of_events.event_feed	base.events.location_of_events.event_feed
base.events.type_of_performance.includes_type_of_performance	base.events.type_of_performance.includes_type_of_performance
base.familyguy.family_guy_reference.episodes	base.familyguy.family_guy_reference.episodes
base.famouspets.pet_owner.pets_owned	base.famouspets.pet_owner.pets_owned
base.famouspets.pet_ownership.owner	base.famouspets.pet_ownership.owner
base.fictionaluniverse.deceased_fictional_character.cause_of_death	base.fictionaluniverse.deceased_fictional_character.cause_of_death
base.fictionaluniverse.deceased_fictional_character.date_of_death	base.fictionaluniverse.deceased_fictional_character.date_of_death
base.fictionaluniverse.deceased_fictional_character.place_of_death	base.fictionaluniverse.deceased_fictional_character.place_of_death
base.fictionaluniverse.fictional_clone_creator.clones_created	base.fictionaluniverse.fictional_clone_creator.clones_created
base.fictionaluniverse.fictional_killer.characters_killed	base.fictionaluniverse.fictional_killer.characters_killed
base.fictionaluniverse.fictional_murder_victim.killed_by	base.fictionaluniverse.fictional_murder_victim.killed_by
base.fictionaluniverse.impersonated_fictional_character.impersonated_by	base.fictionaluniverse.impersonated_fictional_character.impersonated_by
base.fight.crime_type.acquittals_of_this_type	base.fight.crime_type.acquittals_of_this_type
base.fight.crime_type.crimes_of_this_type	base.fight.crime_type.crimes_of_this_type
base.fight.crime_type.fugitives_of_this_type	base.fight.crime_type.fugitives_of_this_type
base.fight.crime_type.included_in_crimes	base.fight.crime_type.included_in_crimes
base.fight.crime_type.includes_crimes	base.fight.crime_type.includes_crimes
base.fight.crime_type.lawsuits_about_this	base.fight.crime_type.lawsuits_about_this
base.fight.crime_type.people_convicted_of_this_crime	base.fight.crime_type.people_convicted_of_this_crime
base.fight.crime_type.victims_of_this_crime_type	base.fight.crime_type.victims_of_this_crime_type
base.fight.subject_of_protest.protests_about_this	base.fight.subject_of_protest.protests_about_this
base.firsts.achievement.firsts	base.firsts.achievement.firsts
base.firsts.first_achievement_category.firsts	base.firsts.first_achievement_category.firsts
base.folklore.mythical_creature.similar_mythical_creature_s	base.folklore.mythical_creature.similar_mythical_creature_s
base.folklore.mythical_creature_location.mythical_creature_s	base.folklore.mythical_creature_location.mythical_creature_s
base.folklore.mythology.mythical_creatures	base.folklore.mythology.mythical_creatures
base.folklore.named_mythical_creature.extended_family	base.folklore.named_mythical_creature.extended_family
base.folklore.named_mythical_creature.parents	base.folklore.named_mythical_creature.parents
base.folklore.named_mythical_creature_extended_family.named_mythical_creature	base.folklore.named_mythical_creature_extended_family.named_mythical_creature
base.gender.gender_identity.people	base.gender.gender_identity.people
base.ghtech.gh_focus_areas.mdg	base.ghtech.gh_focus_areas.mdg
base.ghtech.gh_focus_areas.treatment	base.ghtech.gh_focus_areas.treatment
base.government2.appointed_official.appointments	base.government2.appointed_official.appointments
base.greatfilms.ranked_item.appears_in_ranked_lists	base.greatfilms.ranked_item.appears_in_ranked_lists
base.greatfilms.ranking.item	base.greatfilms.ranking.item
base.greatfilms.topic.webpage	base.greatfilms.topic.webpage
base.horseracing.racecourse_horse_race_dates.from_date	base.horseracing.racecourse_horse_race_dates.from_date
base.horseracing.racecourse_horse_race_dates.horse_race_track	base.horseracing.racecourse_horse_race_dates.horse_race_track
base.horseracing.racecourse_horse_race_dates.recurring_horse_race_ran_here	base.horseracing.racecourse_horse_race_dates.recurring_horse_race_ran_here
base.horseracing.recurring_horse_race.race_venue	base.horseracing.recurring_horse_race.race_venue
base.ikariam.ikariam_research.category	base.ikariam.ikariam_research.category
base.ikariam.ikariam_research.prerequisite	base.ikariam.ikariam_research.prerequisite
base.ikariam.ikariam_research.research_points	base.ikariam.ikariam_research.research_points
base.ikariam.ikariam_research.researches_unlocked	base.ikariam.ikariam_research.researches_unlocked
base.inaugurations.inauguration.president	base.inaugurations.inauguration.president
base.inaugurations.inauguration_speaker.inauguration	base.inaugurations.inauguration_speaker.inauguration
base.infrastructure.infrastructural_municipality.sewage_treatment_plant	base.infrastructure.infrastructural_municipality.sewage_treatment_plant
base.inspiration.inspiration.inspiration_for	base.inspiration.inspiration.inspiration_for
base.inspiration.inspiration.inspired_by	base.inspiration.inspiration.inspired_by
base.instantencore.instantencore_id	base.instantencore.instantencore_id
base.instantencore.topic.instantencore_id	base.instantencore.topic.instantencore_id
