/home/ccyuan/Project/KG_cash/datasets/complex-web-questions-dataset/ComplexWebQuestions_train.json: +10,215 entities
/home/ccyuan/Project/KG_cash/datasets/complex-web-questions-dataset/ComplexWebQuestions_dev.json: +845 entities
/home/ccyuan/Project/KG_cash/datasets/complex-web-questions-dataset/ComplexWebQuestions_test.json: +780 entities
total CWQ entities: 11,840
read=1,000,000 kept=52,644
read=123,000,000 kept=4,469,530
read=124,000,000 kept=4,488,236
read=125,000,000 kept=4,537,040
read=126,000,000 kept=4,667,176
read=127,000,000 kept=4,687,532
read=128,000,000 kept=4,705,833
read=129,000,000 kept=4,737,172
read=130,000,000 kept=4,781,206
read=131,000,000 kept=4,814,933
read=132,000,000 kept=4,847,645
read=133,000,000 kept=4,858,913
read=134,000,000 kept=4,907,501
read=135,000,000 kept=4,943,376
read=136,000,000 kept=4,977,466
read=137,000,000 kept=5,000,249
read=138,000,000 kept=5,012,566
read=139,000,000 kept=5,064,689
read=140,000,000 kept=5,094,283
read=141,000,000 kept=5,125,666
read=142,000,000 kept=5,142,776
read=143,000,000 kept=5,164,139
read=144,000,000 kept=5,210,756
read=145,000,000 kept=5,283,231
read=146,000,000 kept=5,305,197
read=147,000,000 kept=5,319,276
read=148,000,000 kept=5,362,158
read=149,000,000 kept=5,406,939
read=150,000,000 kept=5,440,942
read=151,000,000 kept=5,468,460
read=152,000,000 kept=5,480,964
read=153,000,000 kept=5,532,586
read=154,000,000 kept=5,566,695
read=155,000,000 kept=5,598,340
read=156,000,000 kept=5,615,076
read=157,000,000 kept=5,629,824
read=158,000,000 kept=5,683,191
read=159,000,000 kept=5,717,737
read=160,000,000 kept=5,738,632
read=161,000,000 kept=5,754,963
read=162,000,000 kept=5,782,864
read=163,000,000 kept=5,825,841
read=164,000,000 kept=5,901,527
read=165,000,000 kept=5,923,543
read=166,000,000 kept=5,935,560
read=167,000,000 kept=5,983,980
read=168,000,000 kept=6,030,535
read=169,000,000 kept=6,062,003
read=170,000,000 kept=6,081,981
read=171,000,000 kept=6,094,306
read=172,000,000 kept=6,146,779
read=173,000,000 kept=6,194,649
read=174,000,000 kept=6,224,040
read=175,000,000 kept=6,237,042
read=176,000,000 kept=6,256,140
read=177,000,000 kept=6,319,313
read=178,000,000 kept=6,363,858
read=179,000,000 kept=6,387,926
read=180,000,000 kept=6,402,669
read=181,000,000 kept=6,451,246
read=182,000,000 kept=6,488,928
read=183,000,000 kept=6,522,807
read=184,000,000 kept=6,546,072
read=185,000,000 kept=6,556,855
read=186,000,000 kept=6,608,590
read=187,000,000 kept=6,635,474
read=188,000,000 kept=6,666,995
read=189,000,000 kept=6,681,199
read=190,000,000 kept=6,698,702
read=191,000,000 kept=6,751,079
read=192,000,000 kept=6,789,280
read=193,000,000 kept=6,816,657
read=194,000,000 kept=6,875,948
read=195,000,000 kept=6,912,983
read=196,000,000 kept=6,946,315
read=197,000,000 kept=6,986,805
read=198,000,000 kept=7,021,877
read=199,000,000 kept=7,032,532
read=200,000,000 kept=7,084,215
read=201,000,000 kept=7,107,945
read=202,000,000 kept=7,151,988
read=203,000,000 kept=7,168,712
read=204,000,000 kept=7,183,837
read=205,000,000 kept=7,237,741
read=206,000,000 kept=7,271,784
read=207,000,000 kept=7,304,368
read=208,000,000 kept=7,317,950
read=209,000,000 kept=7,349,343
read=210,000,000 kept=7,392,042
read=211,000,000 kept=7,402,070
read=212,000,000 kept=7,439,027
read=213,000,000 kept=7,460,188
read=214,000,000 kept=7,471,818
read=215,000,000 kept=7,523,790
read=216,000,000 kept=7,550,429
read=217,000,000 kept=7,580,394
read=218,000,000 kept=7,593,083
read=219,000,000 kept=7,611,458
read=220,000,000 kept=7,663,696
read=221,000,000 kept=7,689,849
read=222,000,000 kept=7,722,494
read=223,000,000 kept=7,738,891
read=224,000,000 kept=7,760,037
read=225,000,000 kept=7,806,433
read=226,000,000 kept=7,840,498
read=227,000,000 kept=7,860,122
read=228,000,000 kept=7,875,288
read=229,000,000 kept=7,898,768
read=230,000,000 kept=7,943,533
read=231,000,000 kept=7,983,383
read=232,000,000 kept=8,063,922
read=233,000,000 kept=8,077,617
read=234,000,000 kept=8,123,174
read=235,000,000 kept=8,155,964
read=236,000,000 kept=8,186,691
read=237,000,000 kept=8,211,474
read=238,000,000 kept=8,221,708
read=239,000,000 kept=8,273,080
read=240,000,000 kept=8,302,806
read=241,000,000 kept=8,335,187
read=242,000,000 kept=8,349,968
read=243,000,000 kept=8,366,021
read=244,000,000 kept=8,417,362
read=245,000,000 kept=8,451,269
read=246,000,000 kept=8,486,831
read=247,000,000 kept=8,501,233
read=248,000,000 kept=8,535,323
read=249,000,000 kept=8,567,107
read=250,000,000 kept=8,567,107
read=251,000,000 kept=8,567,107
read=252,000,000 kept=8,567,109
read=253,000,000 kept=8,587,343
read=254,000,000 kept=8,618,525
read=255,000,000 kept=8,640,845
read=256,000,000 kept=8,653,165
read=257,000,000 kept=8,706,118
read=258,000,000 kept=8,732,414
read=259,000,000 kept=8,757,792
read=260,000,000 kept=8,778,841
read=261,000,000 kept=8,791,334
read=262,000,000 kept=8,842,998
read=263,000,000 kept=8,868,965
read=264,000,000 kept=8,957,843
read=265,000,000 kept=8,971,015
read=266,000,000 kept=8,987,939
read=267,000,000 kept=9,038,946
read=268,000,000 kept=9,107,340
read=269,000,000 kept=9,132,385
read=270,000,000 kept=9,149,482
read=271,000,000 kept=9,187,244
read=272,000,000 kept=9,225,528
read=273,000,000 kept=9,258,038
read=274,000,000 kept=9,281,803
read=275,000,000 kept=9,292,497
read=276,000,000 kept=9,342,750
read=277,000,000 kept=9,366,767
read=278,000,000 kept=9,387,362
read=279,000,000 kept=9,387,365
read=280,000,000 kept=9,387,367
read=281,000,000 kept=9,422,285
read=282,000,000 kept=9,436,095
read=283,000,000 kept=9,463,727
read=284,000,000 kept=9,505,923
read=285,000,000 kept=9,551,339
read=286,000,000 kept=9,573,158
read=287,000,000 kept=9,585,614
read=288,000,000 kept=9,633,380
read=289,000,000 kept=9,668,932
read=290,000,000 kept=9,711,504
read=291,000,000 kept=9,734,688
read=292,000,000 kept=9,745,176
read=293,000,000 kept=9,796,617
read=294,000,000 kept=9,824,680
read=295,000,000 kept=9,855,889
read=296,000,000 kept=9,869,429
read=297,000,000 kept=9,886,584
read=298,000,000 kept=9,936,849
read=299,000,000 kept=9,982,245
read=300,000,000 kept=10,002,418
read=301,000,000 kept=10,015,806
read=302,000,000 kept=10,055,750
read=303,000,000 kept=10,090,389
read=304,000,000 kept=10,124,386
read=305,000,000 kept=10,150,338
read=306,000,000 kept=10,161,161
read=307,000,000 kept=10,212,666
read=308,000,000 kept=10,238,819
read=309,000,000 kept=10,270,967
read=310,000,000 kept=10,286,872
read=311,000,000 kept=10,299,036
read=312,000,000 kept=10,352,275
read=313,000,000 kept=10,531,960
read=314,000,000 kept=10,574,812
read=315,000,000 kept=10,597,840
read=316,000,000 kept=10,609,121
read=317,000,000 kept=10,660,696
read=318,000,000 kept=10,686,613
read=319,000,000 kept=10,731,764
read=320,000,000 kept=10,744,425
read=321,000,000 kept=10,763,951
read=322,000,000 kept=10,814,553
read=323,000,000 kept=10,854,982
read=324,000,000 kept=10,876,649
read=325,000,000 kept=10,890,669
read=326,000,000 kept=10,927,488
read=327,000,000 kept=10,960,973
read=328,000,000 kept=10,993,657
read=329,000,000 kept=11,019,770
read=330,000,000 kept=11,029,913
read=331,000,000 kept=11,081,074
read=332,000,000 kept=11,108,885
read=333,000,000 kept=11,145,008
read=334,000,000 kept=11,172,235
read=335,000,000 kept=11,186,557
read=336,000,000 kept=11,239,548
read=337,000,000 kept=11,280,779
read=338,000,000 kept=11,305,585
read=339,000,000 kept=11,319,290
read=340,000,000 kept=11,350,559
read=341,000,000 kept=11,387,005
read=342,000,000 kept=11,540,981
read=343,000,000 kept=11,562,485
read=344,000,000 kept=11,575,963
read=345,000,000 kept=11,622,460
read=346,000,000 kept=11,675,842
read=347,000,000 kept=11,707,782
read=348,000,000 kept=11,731,813
read=349,000,000 kept=11,743,531
read=350,000,000 kept=11,794,927
read=351,000,000 kept=11,820,380
read=352,000,000 kept=11,851,125
read=353,000,000 kept=11,866,676
read=354,000,000 kept=11,884,620
read=355,000,000 kept=11,935,945
read=356,000,000 kept=11,978,698
read=357,000,000 kept=11,999,321
read=358,000,000 kept=12,014,624
read=359,000,000 kept=12,051,601
read=360,000,000 kept=12,085,298
read=361,000,000 kept=12,118,661
read=362,000,000 kept=12,141,732
read=363,000,000 kept=12,152,371
read=364,000,000 kept=12,202,932
read=365,000,000 kept=12,230,112
read=366,000,000 kept=12,262,954
read=367,000,000 kept=12,278,020
read=368,000,000 kept=12,297,380
read=369,000,000 kept=12,349,154
read=370,000,000 kept=12,390,546
read=371,000,000 kept=12,417,988
read=372,000,000 kept=12,432,436
read=373,000,000 kept=12,461,839
read=374,000,000 kept=12,503,413
read=375,000,000 kept=12,538,184
read=376,000,000 kept=12,560,548
read=377,000,000 kept=12,572,990
read=378,000,000 kept=12,622,513
read=379,000,000 kept=12,654,661
read=380,000,000 kept=12,690,255
read=381,000,000 kept=12,711,331
read=382,000,000 kept=12,725,816
read=383,000,000 kept=12,778,280
read=384,000,000 kept=12,807,367
read=385,000,000 kept=12,837,319
read=386,000,000 kept=12,850,783
read=387,000,000 kept=12,872,541
read=388,000,000 kept=12,920,508
read=389,000,000 kept=12,954,554
read=390,000,000 kept=12,975,082
read=391,000,000 kept=12,991,437
read=392,000,000 kept=13,035,551
read=393,000,000 kept=13,062,195
read=394,000,000 kept=13,089,433
read=395,000,000 kept=13,107,626
read=396,000,000 kept=13,122,506
read=397,000,000 kept=13,165,836
read=398,000,000 kept=13,199,045
read=399,000,000 kept=13,232,756
read=400,000,000 kept=13,255,498
read=401,000,000 kept=13,266,421
read=402,000,000 kept=13,317,437
read=403,000,000 kept=13,344,316
read=404,000,000 kept=13,380,466
read=405,000,000 kept=13,399,988
read=406,000,000 kept=13,416,092
read=407,000,000 kept=13,467,165
read=408,000,000 kept=13,518,974
read=409,000,000 kept=13,540,111
read=410,000,000 kept=13,553,710
read=411,000,000 kept=13,589,199
read=412,000,000 kept=13,624,570
read=413,000,000 kept=13,658,011
read=414,000,000 kept=13,680,843
read=415,000,000 kept=13,690,963
read=416,000,000 kept=13,742,246
read=417,000,000 kept=13,766,464
read=418,000,000 kept=13,804,845
read=419,000,000 kept=13,822,340
read=420,000,000 kept=13,836,006
read=421,000,000 kept=13,888,472
read=422,000,000 kept=14,004,073
read=423,000,000 kept=14,047,407
read=424,000,000 kept=14,060,789
read=425,000,000 kept=14,078,176
read=426,000,000 kept=14,128,222
read=427,000,000 kept=14,164,684
read=428,000,000 kept=14,185,508
read=429,000,000 kept=14,200,278
read=430,000,000 kept=14,239,830
read=431,000,000 kept=14,269,445
read=432,000,000 kept=14,309,396
read=433,000,000 kept=14,333,732
read=434,000,000 kept=14,343,784
read=435,000,000 kept=14,394,902
read=436,000,000 kept=14,414,302
read=437,000,000 kept=14,458,852
read=438,000,000 kept=14,480,399
read=439,000,000 kept=14,492,048
read=440,000,000 kept=14,544,052
read=441,000,000 kept=14,569,580
read=442,000,000 kept=14,619,608
read=443,000,000 kept=14,633,103
read=444,000,000 kept=14,650,863
read=445,000,000 kept=14,700,872
read=446,000,000 kept=14,746,052
read=447,000,000 kept=14,765,845
read=448,000,000 kept=14,779,803
read=449,000,000 kept=14,822,737
read=450,000,000 kept=14,854,957
read=451,000,000 kept=14,902,131
read=452,000,000 kept=14,925,437
read=453,000,000 kept=14,936,733
read=454,000,000 kept=14,988,566
read=455,000,000 kept=15,018,868
read=456,000,000 kept=15,049,319
read=457,000,000 kept=15,062,792
read=458,000,000 kept=15,080,281
read=459,000,000 kept=15,131,586
read=460,000,000 kept=15,163,926
read=461,000,000 kept=15,184,652
read=462,000,000 kept=15,198,312
read=463,000,000 kept=15,235,606
read=464,000,000 kept=15,266,623
read=465,000,000 kept=15,302,155
read=466,000,000 kept=15,325,231
read=467,000,000 kept=15,334,864
read=468,000,000 kept=15,385,707
read=469,000,000 kept=15,419,043
read=470,000,000 kept=15,441,278
read=471,000,000 kept=15,472,810
read=472,000,000 kept=15,483,634
read=473,000,000 kept=15,535,310
read=474,000,000 kept=15,565,715
read=475,000,000 kept=15,611,320
read=476,000,000 kept=15,632,172
read=477,000,000 kept=15,644,058
read=478,000,000 kept=15,696,047
read=479,000,000 kept=15,728,080
read=480,000,000 kept=15,758,005
read=481,000,000 kept=15,770,957
read=482,000,000 kept=15,790,912
read=483,000,000 kept=15,838,449
read=484,000,000 kept=15,873,605
read=485,000,000 kept=15,895,910
read=486,000,000 kept=15,908,445
read=487,000,000 kept=15,956,425
read=488,000,000 kept=15,981,469
read=489,000,000 kept=16,013,350
read=490,000,000 kept=16,045,671
read=491,000,000 kept=16,056,537
read=492,000,000 kept=16,108,461
read=493,000,000 kept=16,133,011
read=494,000,000 kept=16,180,028
read=495,000,000 kept=16,193,587
read=496,000,000 kept=16,210,861
read=497,000,000 kept=16,262,023
read=498,000,000 kept=16,302,705
read=499,000,000 kept=16,325,816
read=500,000,000 kept=16,339,891
read=501,000,000 kept=16,373,045
read=502,000,000 kept=16,410,019
read=503,000,000 kept=16,442,388
read=504,000,000 kept=16,464,311
read=505,000,000 kept=16,477,635
read=506,000,000 kept=16,514,650
read=507,000,000 kept=16,547,154
read=508,000,000 kept=16,637,289
read=509,000,000 kept=16,665,914
read=510,000,000 kept=16,682,510
read=511,000,000 kept=16,732,676
read=512,000,000 kept=16,756,924
read=513,000,000 kept=16,791,658
read=514,000,000 kept=16,808,448
read=515,000,000 kept=16,819,822
read=516,000,000 kept=16,869,200
read=517,000,000 kept=16,894,967
read=518,000,000 kept=16,937,871
read=519,000,000 kept=16,957,211
read=520,000,000 kept=16,969,372
read=521,000,000 kept=17,021,686
read=522,000,000 kept=17,148,929
read=523,000,000 kept=17,186,346
read=524,000,000 kept=17,204,801
read=525,000,000 kept=17,227,878
read=526,000,000 kept=17,279,289
read=527,000,000 kept=17,400,045
read=528,000,000 kept=17,425,061
read=529,000,000 kept=17,438,304
read=530,000,000 kept=17,466,567
read=531,000,000 kept=17,506,968
read=532,000,000 kept=17,541,932
read=533,000,000 kept=17,564,121
read=534,000,000 kept=17,576,762
read=535,000,000 kept=17,625,465
read=536,000,000 kept=17,657,406
read=537,000,000 kept=17,702,976
read=538,000,000 kept=17,723,765
read=539,000,000 kept=17,735,622
read=540,000,000 kept=17,787,789
read=541,000,000 kept=17,813,405
read=542,000,000 kept=17,851,001
read=543,000,000 kept=17,863,377
read=544,000,000 kept=17,881,414
read=545,000,000 kept=17,934,527
read=546,000,000 kept=17,970,064
read=547,000,000 kept=17,991,513
read=548,000,000 kept=18,004,712
read=549,000,000 kept=18,049,677
read=550,000,000 kept=18,079,145
read=551,000,000 kept=18,111,382
read=552,000,000 kept=18,186,595
read=553,000,000 kept=18,196,456
read=554,000,000 kept=18,248,163
read=555,000,000 kept=18,284,814
read=556,000,000 kept=18,317,345
read=557,000,000 kept=18,331,605
read=558,000,000 kept=18,349,015
read=559,000,000 kept=18,400,939
read=560,000,000 kept=18,447,296
read=561,000,000 kept=18,482,741
read=562,000,000 kept=18,495,835
read=563,000,000 kept=18,524,402
read=564,000,000 kept=18,563,884
read=565,000,000 kept=18,605,301
read=566,000,000 kept=18,627,516
read=567,000,000 kept=18,638,960
read=568,000,000 kept=18,687,859
read=569,000,000 kept=18,713,825
read=570,000,000 kept=18,747,179
read=571,000,000 kept=18,767,938
read=572,000,000 kept=18,779,955
read=573,000,000 kept=18,832,103
read=574,000,000 kept=18,863,471
read=575,000,000 kept=18,887,579
read=576,000,000 kept=18,905,446
read=577,000,000 kept=18,919,668
read=578,000,000 kept=18,972,660
read=579,000,000 kept=19,004,957
read=580,000,000 kept=19,032,604
read=581,000,000 kept=19,046,447
read=582,000,000 kept=19,075,644
read=583,000,000 kept=19,115,166
read=584,000,000 kept=19,149,590
read=585,000,000 kept=19,173,064
read=586,000,000 kept=19,184,503
read=587,000,000 kept=19,234,134
read=588,000,000 kept=19,261,515
read=589,000,000 kept=19,294,186
read=590,000,000 kept=19,322,486
read=591,000,000 kept=19,334,868
read=592,000,000 kept=19,388,020
read=593,000,000 kept=19,419,175
read=594,000,000 kept=19,450,059
read=595,000,000 kept=19,464,594
read=596,000,000 kept=19,486,658
read=597,000,000 kept=19,531,761
read=598,000,000 kept=19,568,432
read=599,000,000 kept=19,591,135
read=600,000,000 kept=19,603,360
read=601,000,000 kept=19,650,741
read=602,000,000 kept=19,684,971
read=603,000,000 kept=19,728,117
read=604,000,000 kept=19,752,387
read=605,000,000 kept=19,763,817
read=606,000,000 kept=19,816,250
read=607,000,000 kept=19,844,623
read=608,000,000 kept=19,945,743
read=609,000,000 kept=19,958,953
read=610,000,000 kept=19,976,476
read=611,000,000 kept=20,027,793
read=612,000,000 kept=20,067,567
read=613,000,000 kept=20,093,744
read=614,000,000 kept=20,107,050
read=615,000,000 kept=20,143,618
read=616,000,000 kept=20,195,225
read=617,000,000 kept=20,232,363
read=618,000,000 kept=20,255,640
read=619,000,000 kept=20,265,961
read=620,000,000 kept=20,316,578
read=621,000,000 kept=20,350,578
read=622,000,000 kept=20,387,269
read=623,000,000 kept=20,405,893
read=624,000,000 kept=20,418,715
read=625,000,000 kept=20,472,074
read=626,000,000 kept=20,513,995
read=627,000,000 kept=20,557,772
read=628,000,000 kept=20,571,304
read=629,000,000 kept=20,597,509
read=630,000,000 kept=20,638,636
read=631,000,000 kept=20,680,271
read=632,000,000 kept=20,704,047
read=633,000,000 kept=20,717,181
read=634,000,000 kept=20,765,378
read=635,000,000 kept=20,786,506
read=636,000,000 kept=20,821,251
read=637,000,000 kept=20,845,281
read=638,000,000 kept=20,868,885
read=639,000,000 kept=20,917,255
read=640,000,000 kept=21,008,654
read=641,000,000 kept=21,042,368
read=642,000,000 kept=21,074,440
read=643,000,000 kept=21,085,311
read=644,000,000 kept=21,137,110
read=645,000,000 kept=21,162,411
read=646,000,000 kept=21,201,896
read=647,000,000 kept=21,214,718
read=648,000,000 kept=21,232,035
read=649,000,000 kept=21,282,774
read=650,000,000 kept=21,317,738
read=651,000,000 kept=21,337,687
read=652,000,000 kept=21,357,733
read=653,000,000 kept=21,403,977
read=654,000,000 kept=21,456,211
read=655,000,000 kept=21,489,553
read=656,000,000 kept=21,518,322
read=657,000,000 kept=21,528,517
read=658,000,000 kept=21,580,268
read=659,000,000 kept=21,606,610
read=660,000,000 kept=21,639,073
read=661,000,000 kept=21,656,512
read=662,000,000 kept=21,671,027
read=663,000,000 kept=21,723,635
read=664,000,000 kept=21,757,630
read=665,000,000 kept=21,788,694
read=666,000,000 kept=21,803,149
read=667,000,000 kept=21,832,796
read=668,000,000 kept=21,870,597
read=669,000,000 kept=21,905,402
read=670,000,000 kept=21,929,679
read=671,000,000 kept=21,941,052
read=672,000,000 kept=21,989,545
read=673,000,000 kept=22,013,923
read=674,000,000 kept=22,050,002
read=675,000,000 kept=22,069,741
read=676,000,000 kept=22,082,939
read=677,000,000 kept=22,136,206
read=678,000,000 kept=22,162,297
read=679,000,000 kept=22,190,204
read=680,000,000 kept=22,203,533
read=681,000,000 kept=22,224,999
read=682,000,000 kept=22,273,390
read=683,000,000 kept=22,323,238
read=684,000,000 kept=22,359,944
read=685,000,000 kept=22,374,169
read=686,000,000 kept=22,416,898
read=687,000,000 kept=22,450,132
read=688,000,000 kept=22,481,952
read=689,000,000 kept=22,501,382
read=690,000,000 kept=22,512,220
read=691,000,000 kept=22,562,779
read=692,000,000 kept=22,588,776
read=693,000,000 kept=22,620,559
read=694,000,000 kept=22,637,485
read=695,000,000 kept=22,651,569
read=696,000,000 kept=22,704,133
read=697,000,000 kept=23,179,023
read=698,000,000 kept=23,221,722
read=699,000,000 kept=23,244,231
read=700,000,000 kept=23,256,098
read=701,000,000 kept=23,307,934
read=702,000,000 kept=23,340,631
read=703,000,000 kept=23,373,518
read=704,000,000 kept=23,388,318
read=705,000,000 kept=23,405,634
read=706,000,000 kept=23,456,590
read=707,000,000 kept=23,489,172
read=708,000,000 kept=23,511,560
read=709,000,000 kept=23,525,498
read=710,000,000 kept=23,565,717
read=711,000,000 kept=23,598,484
read=712,000,000 kept=23,634,240
read=713,000,000 kept=23,657,773
read=714,000,000 kept=23,667,746
read=715,000,000 kept=23,718,422
read=716,000,000 kept=23,739,549
read=717,000,000 kept=23,770,902
read=718,000,000 kept=23,791,147
read=719,000,000 kept=23,802,775
read=720,000,000 kept=23,855,591
read=721,000,000 kept=23,883,710
read=722,000,000 kept=23,914,161
read=723,000,000 kept=23,928,915
read=724,000,000 kept=23,948,510
read=725,000,000 kept=23,998,971
read=726,000,000 kept=24,130,955
read=727,000,000 kept=24,151,896
read=728,000,000 kept=24,165,121
read=729,000,000 kept=24,199,937
read=730,000,000 kept=24,241,309
read=731,000,000 kept=24,277,643
read=732,000,000 kept=24,301,401
read=733,000,000 kept=24,311,438
read=734,000,000 kept=24,362,357
read=735,000,000 kept=24,389,487
read=736,000,000 kept=24,437,998
read=737,000,000 kept=24,455,445
read=738,000,000 kept=24,468,912
read=739,000,000 kept=24,521,810
read=740,000,000 kept=24,552,294
read=741,000,000 kept=24,576,067
read=742,000,000 kept=24,589,878
read=743,000,000 kept=24,620,166
read=744,000,000 kept=24,657,831
read=745,000,000 kept=24,692,976
read=746,000,000 kept=24,715,900
read=747,000,000 kept=24,727,240
read=748,000,000 kept=24,777,005
read=749,000,000 kept=24,818,761
read=750,000,000 kept=24,858,358
read=751,000,000 kept=24,880,973
read=752,000,000 kept=24,893,508
read=753,000,000 kept=24,945,901
read=754,000,000 kept=24,971,378
read=755,000,000 kept=25,001,478
read=756,000,000 kept=25,013,859
read=757,000,000 kept=25,033,417
read=758,000,000 kept=25,081,130
read=759,000,000 kept=25,136,882
read=760,000,000 kept=25,163,038
read=761,000,000 kept=25,178,310
read=762,000,000 kept=25,223,574
read=763,000,000 kept=25,253,896
read=764,000,000 kept=25,286,339
read=765,000,000 kept=25,316,108
read=766,000,000 kept=25,326,886
read=767,000,000 kept=25,378,090
read=768,000,000 kept=25,403,499
read=769,000,000 kept=25,454,649
read=770,000,000 kept=25,468,833
read=771,000,000 kept=25,485,558
read=772,000,000 kept=25,537,333
read=773,000,000 kept=25,572,963
read=774,000,000 kept=25,608,839
read=775,000,000 kept=25,623,734
read=776,000,000 kept=25,654,946
read=777,000,000 kept=25,693,123
read=778,000,000 kept=25,727,540
read=779,000,000 kept=25,750,108
read=780,000,000 kept=25,761,815
read=781,000,000 kept=25,811,893
read=782,000,000 kept=25,927,939
read=783,000,000 kept=26,002,196
read=784,000,000 kept=26,022,505
read=785,000,000 kept=26,032,246
read=786,000,000 kept=26,083,834
read=787,000,000 kept=26,121,684
read=788,000,000 kept=26,154,399
read=789,000,000 kept=26,171,386
read=790,000,000 kept=26,185,433
read=791,000,000 kept=26,238,028
read=792,000,000 kept=26,265,705
read=793,000,000 kept=26,289,946
read=794,000,000 kept=26,305,242
read=795,000,000 kept=26,336,334
read=796,000,000 kept=26,382,294
read=797,000,000 kept=26,422,423
read=798,000,000 kept=26,444,903
read=799,000,000 kept=26,456,324
read=800,000,000 kept=26,504,331
read=801,000,000 kept=26,527,752
read=802,000,000 kept=26,558,658
read=803,000,000 kept=26,579,246
read=804,000,000 kept=26,591,014
read=805,000,000 kept=26,642,800
